id;jhi_key;shift_start;shift_end;type
1;4519;2024-01-01T13:17:03;2024-01-01T20:00:44;provided
2;27513;2024-01-01T22:21:23;2024-01-01T19:59:28;boiling gah gainsay
3;6161;2024-01-02T01:05:36;2024-01-01T22:49:14;instead joey towards
4;11253;2024-01-01T05:40:21;2024-01-01T06:34:41;creative
5;21993;2024-01-01T11:38:57;2024-01-01T09:56:03;uselessly
6;25819;2024-01-01T21:55:11;2024-01-01T15:42:47;gosh indeed
7;5102;2024-01-01T03:02:32;2024-01-01T19:47:16;what
8;7733;2024-01-01T18:36:48;2024-01-01T04:22:12;snarling tenderly yahoo
9;18801;2024-01-01T02:53:53;2024-01-01T22:49:24;pish
10;32636;2024-01-01T09:55:47;2024-01-02T00:22:47;ill-informed ha
