id;jhi_key;shift_start;shift_end;type
1;2484;2024-01-01T18:32:35;2024-01-01T14:48:33;optimistically because appropriate
2;7234;2024-01-01T10:27:18;2024-01-01T16:53:13;failing
3;17856;2024-01-01T19:26:28;2024-01-01T20:56:06;intently apud
4;6926;2024-01-01T11:01:47;2024-01-01T17:17:58;purport oh
5;15807;2024-01-01T23:07:54;2024-01-01T09:01:45;advertisement inasmuch fortunately
6;3437;2024-01-01T08:27:52;2024-01-01T11:57:05;hungrily after
7;23823;2024-01-01T10:57:13;2024-01-01T17:42:55;spiffy concerning
8;1784;2024-01-01T18:04:21;2024-01-01T12:39:24;resettle proud
9;30708;2024-01-01T14:21:48;2024-01-01T10:02:48;clearly while midst
10;17558;2024-01-01T18:21:53;2024-01-01T21:04:00;defiantly
